id;symbol;name;current_price;market_cap;market_cap_rank;total_volume;high_24;low_24;price_change_24;price_change_percentage_24_hr;total_supply;ath;ath_date;atl;atl_date
725a5a47-34e0-41ac-af8a-cc147550fb6b;services robust;New;28420;56608;93341;3719;15169;80157;43477;51137;7222;24313;Home;2967;Sol Metal
141e0491-b271-4b58-b49d-eb300972b5f0;silver;Alabama Program;5309;88036;37270;27748;86006;52209;86879;19074;57419;84085;programming Metal Buckinghamshire;41019;XML purple
0c7e7858-d128-4d6a-bb1e-12325c79bafe;Ecuador Car;explicit user-facing Buckinghamshire;97169;30890;96204;45021;14242;59145;50473;54437;4920;45070;Dynamic Producer;5708;Inlet Small
d06b7179-bd55-417d-ae3c-ec4ebf7b1e04;global IB Upgradable;array;67240;81371;7399;87053;74470;47688;41235;93639;57825;81758;Mission bypassing;97330;Gorgeous
2d17ed36-a0c5-4f76-9ff3-4331c03f6ab0;Incredible Cotton;navigate Personal;82852;55113;52787;44314;50797;39667;48733;24793;88272;73253;Forward efficient database;18750;HDD Intuitive
32fb24e6-49a0-4214-a495-0b910e56bfd8;maroon Gorgeous;payment card;90635;3946;46747;86462;3303;44357;74293;32870;50560;27237;EXE;50462;Intranet Tunnel Kids
06462262-045a-4978-b2d2-c236243a276c;SCSI Movies Sausages;JSON Berkshire Metal;39332;92231;14175;57217;19761;94546;94584;69185;6979;26661;facilitate optimizing SQL;29365;withdrawal
fd9c222d-2776-4a1f-aa3c-79a83f6e0ba8;Future-proofed;dynamic fault-tolerant Lead;85301;48871;96297;36145;67362;81283;54919;97298;90466;9791;Pike open;25812;Wooden withdrawal
6addc958-4ee0-4f89-b178-73e26e4aeddd;panel;Synergized Baby help-desk;1710;9452;8275;82663;82582;50679;52222;4633;86860;73150;state knowledge;26494;Auto
f4b4ffdc-0071-4e75-85f3-d282134dca47;Grenada transmit Netherlands;enhance;33255;91077;16654;38048;94259;65863;59090;12666;74806;58593;Renminbi driver program;5604;Mount Path Regional
